power;218;
gave;218;
thou,;218;
play;217;
head;217;
<stage;217;
break;216;
prince;216;
honest;215;
again;214;
do,;213;
nature;212;
kind;212;
seek;211;
each;210;
between;210;
life,;209;
told;208;
cause;207;
present;206;
worthy;205;
will,;205;
believe;204;
indeed,;203;
royal;202;
high;202;
here's;202;
mean;201;
words;201;
all,;200;
eye;200;
father,;199;
lie;198;
while;197;
right;196;
save;196;
foul;196;
false;196;
seen;195;
place;195;
mistress;194;
pardon;193;7
bloody;193;
yet,;192;
help;191;
brought;191;
means;191;
last;190;
ye;190;
death,;189;
half;188;
lords,;187;
't;187;
fortune;186;
rest;183;
face;183;
hour;183;
says;183;
therefore,;182;
us.;182;
swear;182;
found;181;
dare;181;
gods;181;
because;181;
prithee,;180;
which,;179;
daughter;178;
he,;178;
again,;177;
reason;177;
again.;177;
didst;177;
holy;176;
draw;176;
you:;176;
man.;176;
back;174;
mark;174;
peace;174;
dead;174;
wish;173;125
on,;173;
heart,;173;
him:;172;
friends;172;
know,;172;
gracious;172;
mind;170;
love.;170;
wear;170;
more,;170;
new;169;
queen;169;
yes,;169;
kill;169;
alas!;169;
lost;169;
lose;168;
given;168;4
lady,;168;
desire;167;
wife;167;
time,;167;
death.;167;
son,;167;
same;167;1
this?;166;
there,;166;
strange;165;
see,;164;
lies;164;
happy;163;
heaven,;162;4
o'er;161;
sure;161;
be,;160;
peace,;160;
it?;159;
talk;159;
knows;159;
end;159;
sit;158;
serve;158;
yea,;158;
too.;157;
near;157;
hands;157;
'twas;156;1
less;156;
done,;156;
blood,;156;1
sword;155;1
cæsar;155;
ill;155;15
seem;153;
either;153;
night,;153;
almost;152;
welcome;152;
care;152;
she's;152;
lord!;152;
all.;151;
away,;151;
you'll;151;
me!;151;
worth;151;
enough;150;
house;150;
hang;150;
shame;150;
mother;149;
canst;149;7
cut;149;
truth;148;
something;148;
state;148;
more.;148;
gone;148;
light;147;
speak,;147;
yourself;147;
who,;147;1
out,;147;
times;146;
eyes,;146;
man's;146;
ask;145;
it:;145;
brave;145;
read;145;
here.;145;
brother,;145;
friends,;144;
further;144;
warrant;144;
unless;144;
him?;143;
proud;143;
having;143;
run;143;
fight;143;
think,;142;
knew;142;
woman;142;
true,;142;
here?;141;
body;141;
honour,;141;
master,;141;
pity;141;2
lord?;141;
tears;140;
took;140;
loves;139;
matter;139;
need;139;
goes;137;
common;137;
known;137;
news;137;
will.;137;
remember;136;
return;136;
thoughts;136;
home;136;
up,;136;
become;136;
trust;135;
farewell,;135;
bound;135;
fool;135;
day,;134;
kiss;133;
wit;133;
world,;133;
fit;132;
itself;132;
strong;132;
fare;132;
ho!;132;
heavy;132;
one,;131;
too,;131;
cry;131;
friend;130;
looks;130;
so?;130;
free;130;
charge;130;
king.;130;
spirit;130;
sir?;130;
dead,;129;
look,;129;
men,;129;
lest;128;
friend,;128;
god,;128;
boy,;128;
hence;128;
king's;127;
needs;127;
youth;127;
hard;127;
fellow;127;
ha!;127;
soon;126;
devil;126;
business;126;
fly;126;
cold;125;
ten;125;
heart.;125;
stands;125;
wouldst;125;
rich;124;
god's;124;
base;124;
myself,;124;
mine,;123;
this.;123;
de;122;
spoke;122;
now.;122;
general;122;
twenty;122;
gentleman;122;
name,;122;5
fetch;122;
sleep;122;
virtue;121;
next;121;
over;121;
fire;121;
away.;120;
lives;120;
call'd;120;
earth;120;
oft;119;
lead;119;
husband;119;
france,;119;
come.;119;2
glad;119;
john;118;
wherein;117;
away!;117;
change;117;
strike;117;
purpose;117;4
ah!;117;
grief;116;
neither;116;
wife,;116;
beat;116;
france;116;
henry;116;
sorrow;115;
wrong;115;
down,;115;
want;115;
eat;115;
sun;115;
go.;115;
first,;115;
queen,;115;
yield;115;
indeed;114;
comfort;114;
tender;113;
pay;113;
that?;112;
hate;112;
deny;112;
letter;112;
england;112;
crown;111;
life.;111;
to-morrow;111;
doubt;111;
valiant;110;
welcome,;110;
house,;110;
'twere;110;
whole;110;
hot;110;10
gives;109;
black;109;
lov'd;109;
mad;109;
head,;109;
a';108;
late;108;
breath;108;
pray,;108;
grace,;107;
four;107;
joy;107;
certain;107;
he'll;107;
out.;106;
speak.;106;
said,;106;
now!;106;
or,;106;
open;106;
attend;105;5
good,;105;
marry;105;
cousin;105;
often;105;
wherefore;105;
fear,;105;
english;105;
behold;105;
gone,;104;
french;104;
service;104;
methinks;104;
days;104;
work;104;
worse;104;
bold;104;
in,;104;
signior;104;
praise;103;
pluck;103;
you!;103;
sure,;103;
sound;103;
five;103;
soul,;103;
years;103;
thee:;102;
grow;102;
have,;102;
drink;102;
bless;101;
above;101;
hundred;101;
war;101;
wind;101;
honourable;100;28
hadst;100;
mighty;100;
pretty;99;
hearts;99;
throw;99;
entreat;99;
court;99;
on.;99;
hither,;99;
fell;99;
teach;99;
farewell.;98;
well:;98;
majesty;98;
thyself;98;
hand.;98;
win;98;
rome;98;
thee!;98;
is't;97;
loving;97;
whilst;97;
sworn;97;
not?;97;
course;97;
deep;97;
merry;97;
eye,;96;
just;96;
bad;96;17
vile;96;
arms;96;
report;96;
cast;96;
sea;96;
money;96;
walk;96;
fool,;95;
got;95;
part,;95;
sir!;95;
highness;95;
law;95;
where's;95;22
command;94;
note;94;
write;94;
is.;94;
gold;94;
excellent;93;
hither;93;
married;93;
there?;93;
saint;93;
